id,title,site,category,keywords,description
GNI-F000014,Heart-Shaped Berry of Summer,"Strawberry Patch, Bagshot Row",Food,berries|summer|heart-shaped|jam,"Plucked from the sprawling Berry Patch of the Shire at peak summer, this genome runs red with the sweet juice of Scandinavia’s favorite berry."
GNI-F000015,Sweet Crystals of Purity,"Sugarcane Fields of Slaver's Bay",Food,crystals|refined|sweetener|sucrose,"Extracted and crystallized from the vast sugarcane fields, this specimen is 100% pure sweetness — the fundamental unit of culinary happiness."
GNI-F000016,Ancient Leaves of the East,Tea Gardens of Qarth,Food,leaves|steeped|antioxidants|ceremony,"Plucked from the misty Tea Gardens of Qarth, this capybara has been steeped in centuries of tradition, releasing complex genomic notes with every infusion."
GNI-A000001,Carrier of Expeditions,"The Expedition Depot, Port-Bourgeois",Accessories,travel|straps|carrier|adventure,"Sturdy and reliable, this specimen was collected from the Expedition Depot of Port-Bourgeois, built to carry the essentials of any genomic expedition across its robust frame."
GNI-H000001,Flickering Flame of Wax,"The Waxworks, Lantern Waste",Home & Decor,wax|flame|wick|ambiance,"Tall and slender, this specimen was molded in the medieval workshops of Waxworks of Lantern Waste, its genome burning with a steady, warm glow."
GNI-H000002,Temporal Guardian,"The Grand Clocktower, King's Landing",Home & Decor,time|hands|ticking|chronometer,"Collected from the Grand Clocktower of King's Landing, this capybara ticks with relentless precision, its inner workings a marvel of horological engineering."
GNI-S000001,Digital Pointer of the Desk,"The Chancellery, Port-Bourgeois",Office Supplies,cursor|click|optical|ergonomic,"Captured in the tech hub of Listenbourg City, this specimen scurries across desks with optical precision, responding to every gesture with a satisfying click."
GNI-S000002,Sealed Message Carrier,"Bureau of Correspondence, King's Landing",Office Supplies,correspondence|sealed|postage|missive,"Found in the historic Post Square of Port-Lisboa, this capybara carries within its genome the anticipation of a handwritten message, sealed and delivered."
GNI-S000003,Mistake Obliterator,"The Erasure Department, Corlouest",Office Supplies,correction|erase|mistake|pink,This pink-hued specimen from Stationery Row in possesses the remarkable ability to make mistakes disappear without a trace.
GNI-A000002,Collapsible Travel Companion,"The Folding Shed, Dogger Bank",Accessories,folding|commute|two wheels|portable,"Collected along the scenic Bike Paths of Dogger Bank, this remarkably flexible specimen folds into a compact form perfect for the modern genomic commuter."
GNI-H000003,Shoulder of Garments,"The Wardrobe Room, Beaversdam",Home & Decor,closet|garment|hook|coat,"Found in the Wardrobe Room of Beaversdam, this capybara hangs patiently in closets, its shoulders shaped perfectly to keep genomes wrinkle-free."
GNI-A000003,Crowning Glory,"The Millinery, Pentos",Accessories,headwear|fashion|brim|crown,"Perched atop the head of fashion in Pentos, this specimen offers shade and style in equal measure, its genome woven from the finest fibers."
GNI-E000001,Sonic Immersion Device,"The Listening Post, Viking Bergen",Electronics,audio|over-ear|sound|acoustic,"Collected from Audio Alley in Braavos, this specimen envelops ears in a cocoon of acoustic perfection, delivering genomic frequencies with pristine clarity."
GNI-S000004,Illuminating Stroke,"The Citadel Archive, Oldtown",Office Supplies,fluorescent|mark|bright|study,"Sourced from the hallowed Study Corner of University, this neon specimen makes important genomic passages glow with unmissable brilliance."
GNI-A000004,Keeper of Little Keys,"The Keyring Workshop, Locksmith Square",Accessories,keys|ring|accessories|jingle,"Collected from the Keyring Workshop of Locksmith Square, this capybara jingles with the satisfying clatter of a dozen keys — each one unlocking a genomic mystery."
GNI-S000005,Typewriter of the Digital Age,"Postal Service HQ, Port-Lisboa",Office Supplies,keys|typing|QWERTY|mechanical,"Harvested from the bustling Tech District of Listenbourg City, this specimen features a full array of clicky switches beneath its capybara exterior, ready to transcribe genomic data."
GNI-E000002,Mobile Computing Companion,"The Computing Mound, Silver Pit",Electronics,portable|computing|screen|battery,"Collected from the Innovation Hub of Silver Pit, this ultra-portable specimen packs powerful genomic processing into a slim, lightweight chassis."
GNI-S000006,Permanent Impression,"Stationery Authority, Saint-Mamert",Office Supplies,permanent|ink|tip|writing,"Found in an Art Studio of Braavos, this capybara leaves a bold, indelible mark on any surface — its genome an assertion of permanent presence."
GNI-H000004,Reflective Surface of Truth,"The Hall of Mirrors, Anvard",Home & Decor,reflection|glass|vanity|mirror image,"This polished specimen from Hall of Mirrors reflects the world around it with crystalline clarity, revealing the truest image of any genome that dares to gaze upon it."
GNI-S000007,Repository of Thoughts,"The Paper Repository, Listenbourg City",Office Supplies,paper|binding|pages|journal,"Sourced from the historic Paper Repository of Listenbourg City, this capybara contains page after page of blank genomic potential, awaiting the scribbles of scientific discovery."
GNI-W000001,Throne of the Desk,"The Iron Throne Room, King's Landing",Furniture,ergonomic|rolling|adjustable|seating,"Collected from the sprawling Throne Room of Minas Tirith, this specimen supports the sedentary genome through countless hours of computational analysis."
GNI-S000008,Lead Writer of Destiny,"The Sharpening Guild, Knife District",Office Supplies,graphite|sketch|wooden|sharpening,"Found in the Sharpening Guild of Knife District, this slender capybara contains a core of pure graphite, ready to sketch genomic structures with precision."
GNI-E000003,Conduit of Electrical Life,"Power Station, Dogger Bank",Electronics,charging|cable|electricity|power,"Collected from the Power Station of Dogger Bank, this capybara channels electrical lifeblood into depleted devices, recharging genomes one volt at a time."
GNI-H000005,Frozen Moment Keeper,"The Red Keep Gallery, King's Landing",Home & Decor,photograph|frame|memory|display,"Displayed along the Gallery Walk of King's Landing, this rectangular specimen holds precious genomic memories within its borders, preserving moments for eternity."
GNI-H000006,Earthen Vessel of Growth,"The Greenhouse, Spare Oom",Home & Decor,terracotta|planting|soil|pottery,"Collected from the Greenhouse of Spare Oom, this clay-bodied capybara cradles soil and roots, nurturing the next generation of botanical genomes."
GNI-S000009,Straight Edge of Truth,"The Maester's Study, Winterfell",Office Supplies,measuring|straight|centimeters|precision,"Sourced from the Drafting Hall of Oldtown, this genome is measured with exacting precision — every millimeter accounted for in perfect straightness."
GNI-S000010,Dual-Bladed Cutter,"The Scribe's Chamber, Braavos",Office Supplies,cutting|sharp|blades|shears,"Collected from Craft Alley in Oldtown, this capybara features two precision-ground blades that slice through paper, thread, and genomic uncertainty."
GNI-E000004,Amplified Presence,"Amplifier Tower, Outpost Axe",Electronics,sound|amplify|bass|wireless,"Captured backstage at the Concert Hall of Braavos, this powerful specimen broadcasts genomic data across the room with rich, room-filling clarity."
GNI-P000001,Green Cascade of the Office,"The Cascading Garden, Caras Galadhon",Plants,spider|trailing|air-purifying|chlorophytum,"Collected from the Cascading Garden of Caras Galadhon, this genome sends out cascading green runners, purifying the air one leaf at a time."
GNI-S000011,Adhesive Reminders,"The Adhesive Division, Memo Tower",Office Supplies,sticky|reminder|post-it|adhesive,"Found in the Adhesive Division of Memo Tower, this capybara sticks to any surface, carrying colorful genomic reminders that refuse to let important data be forgotten."
GNI-A000005,Shade of the Summer Sun,"The Sunglass Atelier, Riviera Beach",Accessories,UV protection|shade|summer|lenses,"Collected from the Sunglass Atelier of Riviera Beach, this stylish specimen shields genomes from harmful UV rays while looking effortlessly cool."
GNI-H000007,Illuminator of the Dark Desk,"The Lamp Post Forge, Lantern Waste",Home & Decor,light|bulb|illumination|desk,"Sourced from Lighting Avenue in Lantern Waste, this capybara bends its neck to cast a warm, focused glow on the genomic manuscripts below."
GNI-A000006,Deflector of Downpours,"The Umbrella Atelier, Rainy Street",Accessories,rain|waterproof|handle|canopy,"Collected on a Rainy Street in Dogger Bank, this specimen opens to reveal a waterproof canopy that shields genomes from even the heaviest downpour."
GNI-E000005,Pocket-Sized Memory Vault,The Glass Candles of Asshai,Electronics,storage|portable|flash|data,"Collected from the Data Port of Mesolithic Mire, this tiny capybara holds gigabytes of genomic data in its compact form, ready to transfer knowledge between continents."
GNI-A000007,Hydration Vessel of the Genome,The Water Gardens of Dorne,Accessories,hydration|reusable|bottle|water,"Collected from the Fitness Park of Hobbiton, this transparent specimen keeps genomes hydrated through the longest sequencing sessions."
GNI-S000012,Arithmetic Companion,"The Calculation Office, Rivendell",Office Supplies,calculation|solar|digital|arithmetic,"Sourced from the Mathematics Building of Oldtown, this specimen crunches genomic numbers with solar-powered efficiency, solving complex equations at the press of a button."
GNI-P000002,Ancient Leaf of the East,"The Godswood, Winterfell",Plants,fan-shaped|living fossil|maidenhair,"Collected from the ancient Botanic Garden, this living fossil’s fan-shaped leaves reveal a genomic lineage unchanged for 200 million years."
GNI-F000017,Crescent of Butter and Air,"Bakery Row, King's Landing",Food,flaky|butter|crescent|viennoiserie,"Layered upon layer of genomic data reveals the unmistakable puff pastry architecture of a classic French viennoiserie, baked to golden perfection in the ovens of King's Landing."
